9.7	1
10	1
10.1	2
10.2	1
10.3	2
10.4	6
10.5	2
10.6	12
10.7	13
10.8	13
10.9	17
11	29
11.1	21
11.2	29
11.3	27
11.4	37
11.5	81
11.6	93
11.7	101
11.8	112
11.9	136
12	152
12.1	284
12.2	346
12.3	226
12.4	317
12.5	332
12.6	225
12.7	367
12.8	400
12.9	360
13	272
13.1	507
13.2	258
13.3	439
13.4	315
13.5	308
13.6	570
13.7	233
13.8	105
13.9	45
14	76
14.1	71
14.2	66
14.3	18
14.4	25
14.5	19
14.6	31
14.7	21
14.8	11
14.9	14
15	2
15.1	13
15.2	4
15.3	2
15.4	3
15.5	5
15.6	4
15.7	6
15.8	1
15.9	4
16	3
16.1	3
16.2	4
16.3	5
16.4	2
16.5	1
16.6	3
16.7	8
16.8	1
16.9	3
17	3
17.1	5
17.2	4
17.3	7
17.4	6
17.5	3
17.6	3
17.7	4
17.8	6
17.9	5
18	7
18.1	3
18.2	4
18.3	3
18.4	8
18.5	13
18.6	11
18.7	6
18.8	11
18.9	3
19	8
19.1	8
19.2	11
19.3	7
19.4	9
19.5	8
19.6	11
19.7	6
19.8	6
19.9	6
20	15
20.1	9
20.2	23
20.3	12
20.4	16
20.5	29
20.6	25
20.7	31
20.8	25
20.9	25
21	18
21.1	25
21.2	20
21.3	16
21.4	21
21.5	41
21.6	19
21.7	41
21.8	33
21.9	30
22	32
22.1	18
22.2	20
22.3	18
22.4	13
22.5	20
22.6	22
22.7	21
22.8	24
22.9	7
23	27
23.1	15
23.2	21
23.3	26
23.4	31
23.5	26
23.6	13
23.7	12
23.8	23
23.9	19
24	23
24.1	20
24.2	31
24.3	47
24.4	33
24.5	36
24.6	31
24.7	48
24.8	55
24.9	43
25	23
25.1	38
25.2	39
25.3	83
25.4	46
25.5	41
25.6	44
25.7	41
25.8	70
25.9	75
26	73
26.1	24
26.2	22
26.3	33
26.4	38
26.5	29
26.6	51
26.7	44
26.8	50
26.9	27
27	19
27.1	29
27.2	30
27.3	44
27.4	60
27.5	31
27.6	26
27.7	24
27.8	23
27.9	12
28	10
28.1	7
28.2	11
28.3	25
28.4	11
28.5	16
28.6	18
28.7	21
28.8	8
28.9	12
29	10
29.1	18
29.2	23
29.3	16
29.4	15
29.5	16
29.6	18
29.7	28
29.8	45
29.9	23
30	31
30.1	31
30.2	33
30.3	24
30.4	27
30.5	24
30.6	41
30.7	30
30.8	32
30.9	37
31	35
31.1	22
31.2	25
31.3	87
31.4	66
31.5	79
31.6	50
31.7	46
31.8	45
31.9	57
32	87
32.1	66
32.2	59
32.3	47
32.4	38
32.5	43
32.6	32
32.7	45
32.8	82
32.9	78
33	40
33.1	62
33.2	33
33.3	43
33.4	51
33.5	51
33.6	45
33.7	35
33.8	36
33.9	41
34	13
34.1	8
34.2	12
34.3	46
34.4	49
34.5	41
34.6	39
34.7	47
34.8	27
34.9	32
35	25
35.1	40
35.2	32
35.3	25
35.4	31
35.5	16
35.6	13
35.7	20
35.8	40
35.9	48
36	54
36.1	23
36.2	14
36.3	14
36.4	15
36.5	27
36.6	26
36.7	25
36.8	13
36.9	25
37	16
37.1	19
37.2	28
37.3	57
37.4	24
37.5	36
37.6	23
37.7	29
37.8	32
37.9	26
38	54
38.1	40
38.2	48
38.3	26
38.4	31
38.5	32
38.6	36
38.7	64
38.8	70
38.9	52
39	43
39.1	46
39.2	44
39.3	52
39.4	40
39.5	43
39.6	44
39.7	44
39.8	40
39.9	29
40	48
40.1	41
40.2	47
40.3	82
40.4	55
40.5	31
40.6	45
40.7	45
40.8	79
40.9	72
41	100
41.1	102
41.2	56
41.3	30
41.4	28
41.5	29
41.6	22
41.7	27
41.8	35
41.9	36
42	35
42.1	21
42.2	21
42.3	29
42.4	31
42.5	57
42.6	67
42.7	49
42.8	41
42.9	45
43	44
43.1	36
43.2	25
43.3	48
43.4	44
43.5	46
43.6	51
43.7	38
43.8	54
43.9	57
44	62
44.1	68
44.2	64
44.3	51
44.4	34
44.5	22
44.6	31
44.7	23
44.8	35
44.9	19
45	15
45.1	24
45.2	41
45.3	46
45.4	51
45.5	33
45.6	29
45.7	24
45.8	9
45.9	17
46	7
46.1	27
46.2	27
46.3	27
46.4	5
46.5	13
46.6	12
46.7	30
46.8	27
46.9	32
47	45
47.1	37
47.2	39
47.3	22
47.4	39
47.5	34
47.6	53
47.7	41
47.8	38
47.9	33
48	34
48.1	31
48.2	53
48.3	30
48.4	31
48.5	69
48.6	40
48.7	63
48.8	54
48.9	78
49	96
49.1	114
49.2	65
49.3	97
49.4	47
49.5	47
49.6	29
49.7	57
49.8	64
49.9	50
50	81
50.1	46
50.2	37
50.3	40
50.4	35
50.5	76
50.6	54
50.7	27
50.8	54
50.9	17
51	29
51.1	27
51.2	50
51.3	49
51.4	41
51.5	39
51.6	27
51.7	18
51.8	16
51.9	11
52	59
52.1	53
52.2	30
52.3	42
52.4	29
52.5	50
52.6	64
52.7	44
52.8	24
52.9	42
53	42
53.1	34
53.2	21
53.3	26
53.4	28
53.5	22
53.6	29
53.7	15
53.8	24
53.9	9
54	24
54.1	72
54.2	36
54.3	32
54.4	54
54.5	64
54.6	37
54.7	46
54.8	35
54.9	47
55	32
55.1	37
55.2	19
55.3	28
55.4	37
55.5	22
55.6	60
55.7	68
55.8	53
55.9	33
56	31
56.1	30
56.2	32
56.3	18
56.4	13
56.5	15
56.6	33
56.7	27
56.8	27
56.9	32
57	16
57.1	50
57.2	57
57.3	76
57.4	47
57.5	39
57.6	54
57.7	39
57.8	38
57.9	32
58	36
58.1	31
58.2	35
58.3	32
58.4	34
58.5	24
58.6	42
58.7	53
58.8	108
58.9	48
59	38
59.1	19
59.2	28
59.3	45
59.4	30
59.5	49
59.6	41
59.7	22
59.8	21
59.9	22
60	29
60.1	54
60.2	90
60.3	117
60.4	71
60.5	52
60.6	41
60.7	36
60.8	28
60.9	45
61	29
61.1	62
61.2	45
61.3	33
61.4	49
61.5	45
61.6	97
61.7	67
61.8	70
61.9	18
62	27
62.1	13
62.2	12
62.3	11
62.4	8
62.5	9
62.6	7
62.7	21
62.8	11
62.9	34
63	16
63.1	26
63.2	27
63.3	15
63.4	11
63.5	11
63.6	8
63.7	9
63.8	14
63.9	10
64	18
64.1	12
64.2	22
64.3	32
64.4	52
64.5	41
64.6	35
64.7	44
64.8	31
64.9	38
65	28
65.1	26
65.2	25
65.3	31
65.4	29
65.5	29
65.6	25
65.7	30
65.8	47
65.9	73
66	63
66.1	30
66.2	30
66.3	19
66.4	20
66.5	20
66.6	21
66.7	48
66.8	50
66.9	66
67	87
67.1	65
67.2	68
67.3	94
67.4	82
67.5	93
67.6	56
67.7	88
67.8	60
67.9	69
68	27
68.1	54
68.2	98
68.3	72
68.4	108
68.5	67
68.6	59
68.7	86
68.8	153
68.9	84
69	97
69.1	45
69.2	87
69.3	58
69.4	70
69.5	56
69.6	81
69.7	96
69.8	65
69.9	43
70	43
70.1	26
70.2	37
70.3	96
70.4	21
70.5	34
70.6	30
70.7	35
70.8	17
70.9	24
71	35
71.1	34
71.2	32
71.3	9
71.4	25
71.5	21
71.6	31
71.7	52
71.8	59
71.9	42
72	29
72.1	23
72.2	24
72.3	14
72.4	22
72.5	26
72.6	33
72.7	52
72.8	27
72.9	33
73	22
73.1	51
73.2	42
73.3	67
73.4	55
73.5	26
73.6	18
73.7	24
73.8	17
73.9	18
74	18
74.1	39
74.2	38
74.3	24
74.4	49
74.5	26
74.6	29
74.7	41
74.8	35
74.9	48
75	19
75.1	23
75.2	22
75.3	17
75.4	17
75.5	25
75.6	13
75.7	32
75.8	38
75.9	22
76	50
76.1	27
76.2	38
76.3	18
76.4	15
76.5	26
76.6	25
76.7	17
76.8	23
76.9	14
77	17
77.1	27
77.2	28
77.3	27
77.4	31
77.5	43
77.6	59
77.7	30
77.8	35
77.9	46
78	36
78.1	43
78.2	54
78.3	77
78.4	53
78.5	26
78.6	32
78.7	37
78.8	23
78.9	39
79	53
79.1	39
79.2	40
79.3	32
79.4	30
79.5	15
79.6	24
79.7	29
79.8	30
79.9	27
80	19
80.1	28
80.2	33
80.3	21
80.4	39
80.5	50
80.6	39
80.7	77
80.8	43
80.9	39
81	38
81.1	17
81.2	20
81.3	45
81.4	52
81.5	23
81.6	38
81.7	67
81.8	39
81.9	75
82	69
82.1	32
82.2	35
82.3	36
82.4	29
82.5	21
82.6	30
82.7	25
82.8	27
82.9	28
83	44
83.1	48
83.2	69
83.3	51
83.4	41
83.5	22
83.6	10
83.7	11
83.8	16
83.9	16
84	23
84.1	13
84.2	14
84.3	18
84.4	14
84.5	41
84.6	45
84.7	28
84.8	21
84.9	29
85	17
85.1	35
85.2	18
85.3	21
85.4	20
85.5	19
85.6	12
85.7	13
85.8	12
85.9	30
86	27
86.1	17
86.2	20
86.3	28
86.4	28
86.5	32
86.6	44
86.7	29
86.8	41
86.9	40
87	62
87.1	29
87.2	44
87.3	34
87.4	24
87.5	23
87.6	28
87.7	39
87.8	60
87.9	38
88	67
88.1	56
88.2	56
88.3	31
88.4	37
88.5	36
88.6	18
88.7	58
88.8	69
88.9	59
89	70
89.1	80
89.2	50
89.3	67
89.4	57
89.5	59
89.6	51
89.7	53
89.8	50
89.9	49
90	94
90.1	38
90.2	82
90.3	101
90.4	42
90.5	22
90.6	21
90.7	27
90.8	69
90.9	31
91	52
91.1	45
91.2	20
91.3	29
91.4	53
91.5	61
91.6	38
91.7	43
91.8	62
91.9	34
92	27
92.1	33
92.2	37
92.3	49
92.4	27
92.5	35
92.6	70
92.7	31
92.8	39
92.9	45
93	89
93.1	49
93.2	30
93.3	41
93.4	28
93.5	29
93.6	33
93.7	38
93.8	41
93.9	54
94	47
94.1	46
94.2	16
94.3	22
94.4	28
94.5	54
94.6	65
94.7	45
94.8	50
94.9	35
95	25
95.1	47
95.2	22
95.3	30
95.4	22
95.5	29
95.6	49
95.7	34
95.8	34
95.9	47
96	53
96.1	46
96.2	56
96.3	40
96.4	28
96.5	30
96.6	56
96.7	48
96.8	59
96.9	64
97	59
97.1	70
97.2	64
97.3	125
97.4	59
97.5	52
97.6	23
97.7	52
97.8	44
97.9	22
98	36
98.1	42
98.2	50
98.3	92
98.4	77
98.5	45
98.6	55
98.7	17
98.8	11
98.9	27
99	11
99.1	8
99.2	20
99.3	34
99.4	14
99.5	28
99.6	36
99.7	22
99.8	65
99.9	51
100	44
